Day,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,0.4,0,5.7,0,0,0.5,0.5,4.6,0,10.2,0,0
2,6.5,0,1.7,2.7,0.2,0,0.2,7.7,0,0,0,0.4
3,5.6,0,1.6,1.8,0,0,0,0.2,5.5,0,0.2,0
4,0,0.2,2.6,0.4,0,0,0,0,0,0,7.2,0
5,0.5,0.9,0.3,0,0,0,0,0,3.7,0,0,0
6,0.3,4.8,0.6,0.7,0,0,0,0,0,0,2.2,0
7,11.8,13,0,1.5,0,2,0,0,0,0,0,0
8,0.2,1.1,0.3,0,0,7,0,0,0,0,1.1,0
9,4.8,0.2,13.9,2.2,2,0,0,0,0,1.8,20.8,0
10,1.3,0,0,0,5.2,0.2,0.1,0,4.2,0.2,0,6.6
11,16.1,0,0,3,17.7,0.7,3.3,0,0,0.2,0,0
12,0.3,0,0,3.3,0,2.8,11.2,0,0,1.1,10.5,0.8
13,0.8,2.1,0,0,0,4.1,2.9,0,0,5.3,0,0.3
14,2,0.7,0,2.5,0,8.6,0,0,0,0,0.9,0
15,0,0,0,21.1,0,0,0,0,0,7.6,0.5,0
16,1.1,0,0,0.2,0,1.1,0,0,20.6,10.6,0.9,0
17,2.6,7,0,0,0,7.6,0,0,0,1.3,0.7,0.2
18,0,1.5,0,0,5.2,0.2,0,0,0,0,0,0
19,0,0.2,0,0,0.5,1.7,0,0.9,0.1,0,2.2,0
20,0,3.1,0,0,0,15.2,0,1.6,0,0,19.2,0
21,0,0,0,0,0,0,0,0.4,0,0,15,0.2
22,2.6,3.7,0,5.5,0.2,0,0.4,0.3,0.1,0,0.8,0
23,1.8,0,0,0.2,0,30.4,0,0,0,0,0,0.9
24,0.2,0,5,0.8,0,0,0,0.5,0,0,0,0
25,0,0,3.5,1.1,0,3.2,0,0.2,0,0.4,0,0
26,2.8,0,2.6,0.1,0,0.3,0,0.9,2.8,0,0,1.1
27,2.6,0,7,0.3,0,3.3,2.6,0.1,0,0,0.2,0
28,0,0,11.6,2.2,0,1.5,0,0.7,0,0,0,0
29,0.2,0.1,6.9,0.9,0,0.7,1.1,0,1,0,0,0
30,4.4,0,0,0,0,0.7,0,0,0.7,0,0,0
31,2.4,0,0,0,12.4,0,0,0,0,0,0,